country,date,diesel,diff_diesel,diff_e5,e5,index
France,2021-06-28,1.4296300000000002,-0.049630000000000285,0.03886999999999996,1.54813,9
France,2021-07-05,1.43824,-0.053239999999999954,0.0285200000000001,1.56548,9
France,2021-07-12,1.4376600000000002,-0.045660000000000256,0.03495000000000004,1.56805,9
France,2021-07-19,1.4465599999999998,-0.047559999999999825,0.030999999999999917,1.584,9
France,2021-07-26,1.44106,-0.04605999999999999,0.030569999999999986,1.58243,9
France,2021-08-02,1.43374,-0.0337400000000001,0.05030000000000001,1.5727,9
France,2021-08-09,1.4419300000000002,-0.05093000000000014,0.033359999999999834,1.5876400000000002,9
France,2021-08-16,1.43346,-0.04146000000000005,0.03726000000000007,1.58574,9
France,2021-08-23,1.42775,-0.053749999999999964,0.02526000000000006,1.57774,9
France,2021-08-30,1.42516,-0.03516000000000008,0.04679000000000011,1.56921,9
France,2021-09-06,1.42943,-0.03442999999999996,0.05543000000000009,1.56857,9
France,2021-09-13,1.4417200000000001,-0.04072000000000009,0.04353000000000007,1.58547,9
